,freguesia,hab,zipcode,energy (kWh),waste total (kg),waste indiferenciada (kg),waste selectiva (kg)
0,Ajuda,14306,1300,113195091,7453426,5751012,1702414
1,Alcântara,13850,1300,113195091,7215850,5567700,1648150
2,Alvalade,33309,1700,222581233,17353989,13390218,3963771
3,Areeiro,21160,1000,125770318,11024360,8506320,2518040
4,Arroios,33302,1150,103443840,17350342,13387404,3962938
5,Avenidas Novas,23261,1050,231959233,12118981,9350922,2768059
6,Beato,12183,1900,79523643,6347343,4897566,1449777
7,Belém,16546,1400,72060338,8620466,6651492,1968974
8,Benfica,35362,1500,276397481,18423602,14215524,4208078
9,Campo de Ourique,22140,1350,82551211,11534940,8900280,2634660
10,Campolide,14787,1070,162239429,7704027,5944374,1759653
11,Carnide,18028,1600,281418470,9392588,7247256,2145332
12,Estrela,20267,1200,182688476,10559107,8147334,2411773
13,Lumiar,46334,1600,281418470,24140014,18626268,5513746
14,Marvila,35479,1950,95935450,18484559,14262558,4222001
15,Misericórdia,9658,1200,182688476,5031818,3882516,1149302
16,Olivais,32179,1800,142687032,16765259,12935958,3829301
17,Parque das Nações,22382,1990,182370194,11661022,8997564,2663458
18,Penha de França,28475,1170,62612854,14835475,11446950,3388525
19,Santa Clara,23645,1750,90667598,12319045,9505290,2813755
20,Santa Maria Maior,10051,1100,112467424,5236571,4040502,1196069
21,Santo António,11060,1250,143709293,5762260,4446120,1316140
22,São Domingos de Benfica,34076,1500,276397481,17753596,13698552,4055044
23,São Vicente,13956,1100,112467424,7271076,5610312,1660764
