Place of residence (at the Census 2021 moment);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
PT:Portugal;10343066;1331188;1088087;5500152;2423639;4920220;682244;556173;2645015;1036788;5422846;648944;531914;2855137;1386851
1:Continente;9855909;1264697;1031659;5225083;2334470;4687055;648167;527323;2510823;1000742;5168854;616530;504336;2714260;1333728
17:Área Metropolitana de Lisboa;2870208;411213;310578;1527795;620622;1350446;210923;157773;723624;258126;1519762;200290;152805;804171;362496
170:Área Metropolitana de Lisboa;2870208;411213;310578;1527795;620622;1350446;210923;157773;723624;258126;1519762;200290;152805;804171;362496
1106:Lisboa;545796;71220;55069;291739;127768;254179;36718;27794;140464;49203;291617;34502;27275;151275;78565
110601:Ajuda;14306;1796;1268;7323;3919;6566;939;648;3479;1500;7740;857;620;3844;2419
110602:Alcântara;13850;1774;1235;7500;3341;6269;885;604;3533;1247;7581;889;631;3967;2094
110654:Alvalade;33309;4639;3329;17104;8237;14956;2371;1651;7997;2937;18353;2268;1678;9107;5300
110655:Areeiro;21160;2779;2217;11102;5062;9653;1411;1102;5236;1904;11507;1368;1115;5866;3158
110656:Arroios;33302;3456;3135;20036;6675;16372;1735;1623;10472;2542;16930;1721;1512;9564;4133
110657:Avenidas Novas;23261;3047;2480;12276;5458;10645;1568;1202;5833;2042;12616;1479;1278;6443;3416
110607:Beato;12183;1351;1148;6542;3142;5786;695;622;3244;1225;6397;656;526;3298;1917
110658:Belém;16546;2468;1729;7958;4391;7574;1231;931;3678;1734;8972;1237;798;4280;2657
110608:Benfica;35362;4101;3193;17593;10475;15808;2115;1579;8170;3944;19554;1986;1614;9423;6531
110659:Campo de Ourique;22140;3156;2055;11499;5430;9877;1666;1009;5262;1940;12263;1490;1046;6237;3490
110610:Campolide;14787;1702;1413;8077;3595;6989;884;706;4038;1361;7798;818;707;4039;2234
110611:Carnide;18028;2462;2008;9289;4269;8350;1267;1016;4335;1732;9678;1195;992;4954;2537
110660:Estrela;20267;3013;2107;10956;4191;9379;1518;1045;5248;1568;10888;1495;1062;5708;2623
110618:Lumiar;46334;6790;5154;24701;9689;21521;3535;2594;11397;3995;24813;3255;2560;13304;5694
110621:Marvila;35479;4698;3751;18489;8541;16598;2423;1895;8794;3486;18881;2275;1856;9695;5055
110661:Misericórdia;9658;953;864;5608;2233;4809;516;435;2984;874;4849;437;429;2624;1359
110633:Olivais;32179;3865;3266;16494;8554;14917;2023;1649;7946;3299;17262;1842;1617;8548;5255
110662:Parque das Nações;22382;3961;2701;12321;3399;10823;2057;1415;5859;1492;11559;1904;1286;6462;1907
110663:Penha de França;28475;3076;2593;16222;6584;13280;1566;1314;7989;2411;15195;1510;1279;8233;4173
110664:Santa Clara;23645;4462;2882;12430;3871;11013;2306;1418;5747;1542;12632;2156;1464;6683;2329
110665:Santa Maria Maior;10051;875;853;6296;2027;5623;490;481;3874;778;4428;385;372;2422;1249
110666:Santo António;11060;1306;1063;6312;2379;5313;701;512;3177;923;5747;605;551;3135;1456
110639:São Domingos de Benfica;34076;4057;3463;17560;8996;15423;2064;1731;8132;3496;18653;1993;1732;9428;5500
110667:São Vicente;13956;1433;1162;8051;3310;6635;752;612;4040;1231;7321;681;550;4011;2079
